CNES - Recursos Humanos - Ocupações - segundo CBO 2002 - Brasil
Total por Município e Ano/mês compet.
Profissionais selecionados: .. Clínico Geral
Período:Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Nov/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Nov";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez"
"231220 Santa Quitéria";4;17;12;12;18;17;9;9;5;5;6;8;8;16
"231200 Santana do Acaraú";3;4;6;6;7;5;6;6;4;5;8;7;7;7
"231210 Santana do Cariri";4;7;7;8;4;3;5;7;5;6;5;6;8;11
"231230 São Benedito";10;12;20;12;13;9;28;21;24;22;20;21;27;36
"231240 São Gonçalo do Amarante";10;12;14;15;19;24;58;71;78;79;89;74;70;63
"231250 São João do Jaguaribe";4;5;5;4;3;3;3;3;2;2;2;1;10;8
"231260 São Luís do Curu";3;3;10;5;5;3;6;6;7;5;4;2;2;6
"231270 Senador Pompeu";12;15;11;10;8;7;5;7;9;8;9;9;11;17
"231280 Senador Sá";-;1;1;1;-;-;-;-;-;-;-;-;-;-
"231290 Sobral";112;161;216;178;168;191;213;236;252;247;240;243;219;320
"231300 Solonópole";2;5;4;4;5;5;6;9;7;9;8;8;7;10
"231310 Tabuleiro do Norte";9;12;12;10;8;11;10;10;7;4;10;14;20;21
"231320 Tamboril";5;24;19;22;10;13;15;17;15;12;16;13;8;9
"231325 Tarrafas";1;3;3;3;3;5;6;4;3;6;6;5;4;4
"231330 Tauá";14;10;17;18;23;26;17;28;25;45;55;41;37;42
"231335 Tejuçuoca";2;3;6;4;2;6;5;5;4;6;5;5;6;7
"231340 Tianguá";12;27;24;26;30;37;29;35;37;30;30;30;37;99
"231350 Trairi";3;4;3;5;5;5;6;6;13;12;4;6;8;12
"231355 Tururu";3;4;2;3;2;5;7;7;7;6;9;9;7;10
"231360 Ubajara";11;17;10;8;5;7;12;8;9;13;12;12;18;25
"231370 Umari";5;2;1;1;3;4;1;4;2;3;1;3;4;6
"231375 Umirim";1;7;11;16;11;9;8;4;8;7;9;8;6;8
"231380 Uruburetama";1;1;1;1;1;3;14;13;12;12;6;4;6;14
"231390 Uruoca";3;3;2;10;8;8;4;4;4;2;3;3;2;4
"231395 Varjota";3;3;3;3;2;2;3;3;3;3;7;9;11;5
"231400 Várzea Alegre";17;20;18;23;23;26;27;24;34;35;31;29;25;26
"231410 Viçosa do Ceará";11;13;16;21;12;14;11;16;15;18;20;17;21;24
"240010 Acari";9;9;16;14;16;17;16;7;7;7;8;3;3;5
"240020 Açu";21;25;27;32;33;29;35;29;27;25;26;23;24;43
"240030 Afonso Bezerra";2;3;7;7;4;4;3;2;2;3;3;3;-;5
"240040 Água Nova";-;-;-;-;1;-;2;1;1;1;-;1;1;1
"240050 Alexandria";12;17;21;21;17;15;14;16;19;18;22;24;20;30
"240060 Almino Afonso";2;2;5;7;5;6;6;5;5;6;6;4;2;6
"240070 Alto do Rodrigues";3;4;3;8;10;12;10;11;7;4;4;5;5;6
"240080 Angicos";6;6;9;7;8;9;8;6;6;5;5;6;3;4
"240090 Antônio Martins";4;4;8;10;5;4;3;2;2;1;1;1;2;5
"240100 Apodi";10;4;12;13;16;16;15;15;16;16;14;11;9;12
"240110 Areia Branca";9;16;10;11;12;13;14;9;4;11;6;6;5;5
"240120 Arês";6;3;3;8;3;2;4;4;4;4;1;4;4;5
"240130 Augusto Severo";1;1;4;5;2;2;2;2;2;1;1;1;1;1
"240140 Baía Formosa";5;3;3;1;2;3;3;2;2;1;1;1;1;7
"240145 Baraúna";4;3;12;12;10;6;5;3;4;4;5;1;2;3
"240150 Barcelona";2;2;2;2;2;4;2;2;2;2;2;2;2;3
"240160 Bento Fernandes";2;1;-;1;1;1;1;1;-;-;-;-;2;2
"240165 Bodó";-;-;-;-;-;-;-;-;-;1;1;1;1;1
"240170 Bom Jesus";1;-;3;1;2;2;2;2;1;1;1;1;1;6
"240180 Brejinho";2;2;8;8;3;2;3;3;3;4;4;4;4;5
"240185 Caiçara do Norte";-;-;-;2;2;-;-;-;-;-;-;1;1;3
"240190 Caiçara do Rio do Vento";1;-;-;3;6;6;1;1;1;1;2;1;1;2
"240200 Caicó";45;41;41;41;27;23;20;23;23;26;26;27;29;39
"240210 Campo Redondo";3;2;4;4;4;4;2;2;2;3;2;3;3;3
"240220 Canguaretama";8;12;14;16;15;13;13;16;11;6;4;4;8;6
"240230 Caraúbas";5;6;8;9;11;11;16;14;13;11;12;8;9;10
"240240 Carnaúba dos Dantas";2;4;4;3;2;3;2;6;3;3;7;6;5;5
"240250 Carnaubais";2;2;6;7;7;7;10;8;10;4;5;8;5;5
"240260 Ceará-Mirim";22;22;41;30;19;22;19;21;18;19;30;22;25;18
"240270 Cerro Corá";6;7;7;6;5;5;6;5;4;7;6;5;8;8
"240280 Coronel Ezequiel";3;3;1;1;1;1;3;2;1;1;2;1;1;1
"240290 Coronel João Pessoa";1;2;2;3;2;2;3;2;2;1;3;1;-;-
"240300 Cruzeta";5;5;5;5;4;3;3;7;9;1;5;3;3;4
"240310 Currais Novos";36;40;47;55;34;37;44;42;36;40;35;25;26;27
"240320 Doutor Severiano";1;3;3;4;3;1;3;4;2;2;2;2;2;6
"240330 Encanto";2;3;6;5;2;3;1;-;1;-;-;-;-;4
"240340 Equador";7;5;7;8;7;4;8;4;3;5;5;2;1;3
"240350 Espírito Santo";3;3;3;4;1;1;-;1;-;-;1;1;1;-
"240360 Extremoz";2;1;4;8;6;12;9;11;10;11;19;16;13;15
"240370 Felipe Guerra";2;2;2;4;3;3;3;6;6;4;2;2;2;3
"240375 Fernando Pedroza";-;1;1;2;1;1;1;-;-;1;1;3;4;5
"240380 Florânia";1;1;2;1;1;1;1;-;-;1;1;1;1;3
"240390 Francisco Dantas";1;1;1;1;1;2;1;1;1;1;-;-;-;1
"240400 Frutuoso Gomes";4;7;9;9;7;5;5;7;6;4;3;3;3;7
"240410 Galinhos";-;-;-;1;1;1;1;-;-;-;-;1;3;4
"240420 Goianinha";5;6;9;9;3;7;11;8;7;6;7;10;13;16
"240430 Governador Dix-Sept Rosado";2;3;9;8;3;7;1;7;6;5;3;1;1;2
"240440 Grossos";2;4;3;7;5;3;10;4;1;1;1;1;2;1
"240450 Guamaré";2;1;10;10;21;20;11;11;8;12;8;12;14;18
"240460 Ielmo Marinho";-;-;-;-;-;1;2;1;1;2;-;2;2;4
"240470 Ipanguaçu";-;-;4;5;4;1;-;-;-;-;6;3;-;7
"240480 Ipueira";-;-;-;-;-;-;1;1;1;1;1;1;1;1
"240485 Itajá";-;-;1;-;-;-;1;1;1;-;3;4;6;6
"240490 Itaú";2;4;4;5;4;4;4;4;4;5;6;5;5;5
"240500 Jaçanã";2;3;1;3;3;3;1;1;1;1;1;1;1;1
"240510 Jandaíra";-;1;1;3;2;2;1;-;-;-;-;-;1;1
"240520 Janduís";2;1;2;2;2;2;2;3;2;2;3;3;3;4
"240530 Januário Cicco";1;2;4;4;3;2;3;5;3;2;3;1;1;3
"240540 Japi";3;4;3;3;2;2;-;2;-;1;1;1;1;1
"240550 Jardim de Angicos";-;-;-;1;2;1;1;-;-;1;1;-;-;-
"240560 Jardim de Piranhas";3;7;9;6;6;2;4;6;2;3;3;2;5;2
"240570 Jardim do Seridó";3;4;4;4;3;4;2;2;2;2;4;5;7;9
"240580 João Câmara";10;11;28;23;19;19;13;15;16;12;11;10;5;6
"240590 João Dias";-;-;1;1;1;1;1;1;1;-;-;1;1;2
"240600 José da Penha";5;6;4;4;3;3;3;1;3;3;5;4;3;4
"240610 Jucurutu";5;10;11;10;11;6;6;5;4;1;7;1;4;4
"240615 Jundiá";1;1;-;-;-;1;1;-;-;-;-;-;-;3
"240620 Lagoa d'Anta";2;3;4;5;4;5;3;4;4;1;4;5;5;3
"240630 Lagoa de Pedras";3;2;1;2;1;1;1;2;2;1;1;-;1;1
"240640 Lagoa de Velhos";1;1;2;4;1;1;1;1;-;-;3;3;3;4
"240650 Lagoa Nova";2;2;1;2;3;2;2;1;2;1;8;5;3;10
"240660 Lagoa Salgada";4;4;1;2;-;1;1;1;1;1;3;1;1;3
"240670 Lajes";8;15;13;6;5;6;7;7;4;5;5;5;3;3
"240680 Lajes Pintadas";-;-;-;1;1;2;2;2;2;2;2;1;1;4
"240690 Lucrécia";1;1;3;3;2;2;4;3;2;3;3;3;2;4
"240700 Luís Gomes";4;5;6;6;6;6;4;2;1;3;4;5;4;5
"240710 Macaíba";15;16;14;15;13;15;33;28;25;26;26;37;32;33
"240720 Macau";6;6;9;10;15;18;16;16;16;19;11;9;8;7
"240725 Major Sales";1;1;1;2;2;2;2;3;3;2;4;4;5;6
"240730 Marcelino Vieira";2;1;1;1;2;2;2;2;2;2;1;2;1;4
"240740 Martins";2;2;2;2;2;1;4;4;3;4;3;2;4;3
"240750 Maxaranguape";2;3;3;1;1;2;2;2;3;2;1;-;-;-
"240760 Messias Targino";-;2;2;2;3;4;4;3;3;2;3;2;3;6
"240770 Montanhas";-;1;-;3;1;-;1;2;1;-;4;2;2;5
"240780 Monte Alegre";7;2;6;6;7;4;5;3;4;3;3;11;11;10
"240790 Monte das Gameleiras";5;5;6;4;5;5;3;2;1;1;1;-;5;4
"240800 Mossoró";88;124;176;216;200;220;234;265;281;359;351;345;382;426
"240810 Natal";721;782;718;786;717;643;615;695;676;733;687;777;1062;1314
"240820 Nísia Floresta";-;-;1;2;2;2;4;4;4;5;8;6;10;14
"240830 Nova Cruz";7;5;7;8;4;3;2;2;6;5;9;8;8;19
"240840 Olho-d'Água do Borges";4;4;2;1;2;-;2;2;1;2;4;3;1;3
"240850 Ouro Branco";2;2;2;4;7;3;2;2;-;3;1;2;2;3
"240860 Paraná";1;2;2;4;2;3;6;4;4;1;3;2;2;2
"240870 Paraú";-;-;-;1;2;1;-;1;-;-;-;-;-;6
"240880 Parazinho";1;3;4;4;2;3;6;3;3;2;3;1;1;1
"240890 Parelhas";8;6;7;9;2;2;3;2;3;3;11;8;7;6
"240325 Parnamirim";42;56;119;137;119;86;100;104;98;93;83;91;94;186
"240910 Passa e Fica";1;3;6;8;6;6;7;4;6;5;5;3;5;5
"240920 Passagem";1;1;1;1;-;-;-;-;-;-;-;-;-;1
"240930 Patu";2;6;8;7;8;8;4;5;4;4;9;7;3;11
"240940 Pau dos Ferros";21;37;49;55;54;51;51;54;52;33;34;34;37;52
"240950 Pedra Grande";-;-;1;2;2;2;2;2;1;1;1;-;4;3
"240960 Pedra Preta";1;1;1;1;1;2;1;1;2;2;1;1;2;2
"240970 Pedro Avelino";4;3;2;2;2;5;1;1;1;-;1;-;3;-
"240980 Pedro Velho";6;5;4;6;2;3;4;3;3;3;3;2;2;5
"240990 Pendências";1;1;8;5;4;4;5;4;5;5;7;8;10;8
"241000 Pilões";2;2;3;3;3;3;3;3;3;2;2;2;4;3
"241010 Poço Branco";2;2;3;4;3;3;5;7;6;5;4;4;2;2
"241020 Portalegre";-;2;2;2;2;1;1;1;1;2;2;2;7;9
"241025 Porto do Mangue";-;-;1;1;1;4;3;2;2;2;2;2;2;2
"241040 Pureza";-;-;1;1;2;2;2;2;1;1;6;5;5;3
"241050 Rafael Fernandes";1;1;4;3;1;1;1;1;1;-;1;1;1;2
"241060 Rafael Godeiro";-;-;3;5;4;5;5;6;3;3;4;4;4;12
"241070 Riacho da Cruz";3;3;3;4;2;2;2;2;1;2;-;1;3;4
"241080 Riacho de Santana";1;2;3;4;3;3;-;-;1;1;1;1;1;-
"241090 Riachuelo";2;2;1;1;-;-;1;1;1;1;1;1;1;2
"240895 Rio do Fogo";-;-;-;2;1;1;1;1;1;3;6;13;11;8
"241100 Rodolfo Fernandes";3;4;4;3;2;2;2;1;1;1;2;3;3;1
"241110 Ruy Barbosa";3;3;3;6;6;8;4;5;5;5;5;6;4;7
"241120 Santa Cruz";9;11;19;11;8;7;8;9;8;9;9;9;13;16
"240933 Santa Maria";-;-;-;-;-;-;2;4;3;-;1;-;1;1
"241140 Santana do Matos";10;7;7;9;5;5;6;5;11;7;5;5;5;1
"241142 Santana do Seridó";3;3;3;2;2;2;3;3;2;2;1;2;2;3
"241150 Santo Antônio";13;15;20;19;17;16;17;16;12;14;13;13;13;22
"241160 São Bento do Norte";-;-;-;1;1;1;1;1;1;1;1;1;1;1
"241170 São Bento do Trairí";1;1;1;1;2;1;1;1;1;1;2;1;2;2
"241180 São Fernando";1;2;2;3;3;2;2;2;-;1;-;1;2;-
"241190 São Francisco do Oeste";-;-;-;1;1;1;-;-;-;-;-;-;-;-
"241200 São Gonçalo do Amarante";32;35;36;13;22;20;21;22;18;18;17;18;30;57
"241210 São João do Sabugi";3;2;3;2;1;1;1;1;-;-;1;-;-;3
"241220 São José de Mipibu";21;26;25;20;10;10;7;9;27;17;12;25;14;27
"241230 São José do Campestre";7;7;12;7;5;6;7;6;5;5;5;4;4;4
"241240 São José do Seridó";2;2;3;4;2;2;1;2;1;1;1;2;2;3
"241250 São Miguel";6;9;10;11;4;4;7;7;6;3;9;9;10;10
"241255 São Miguel do Gostoso";1;3;2;2;2;2;1;1;1;3;9;4;5;5
"241260 São Paulo do Potengi";7;18;22;20;16;19;14;11;11;11;11;11;10;21
"241270 São Pedro";-;-;-;-;-;-;-;-;-;-;-;1;1;2
"241280 São Rafael";2;1;3;3;2;3;5;3;6;4;3;6;9;9
"241290 São Tomé";3;3;6;5;6;6;3;3;4;4;5;5;1;3
"241300 São Vicente";2;4;2;4;3;2;2;2;2;3;2;2;2;2
"241310 Senador Elói de Souza";1;1;1;2;2;2;3;3;2;2;2;3;2;3
"241320 Senador Georgino Avelino";1;1;1;2;2;1;-;1;-;-;-;-;-;-
"241030 Serra Caiada";3;4;4;4;2;4;8;10;8;7;6;4;6;8
"241330 Serra de São Bento";-;3;3;4;4;2;5;4;3;4;3;2;2;3
"241335 Serra do Mel";2;4;6;5;4;7;5;5;6;8;6;7;7;7
"241340 Serra Negra do Norte";1;2;2;2;2;2;1;1;1;1;2;2;2;3
"241350 Serrinha";-;-;1;1;2;2;2;1;1;1;1;1;1;5
"241355 Serrinha dos Pintos";1;2;4;3;2;2;1;1;1;2;2;2;2;3
"241360 Severiano Melo";2;4;4;4;3;4;2;4;2;5;2;4;4;4
"241370 Sítio Novo";3;3;3;2;1;1;1;2;1;1;2;1;3;2
"241380 Taboleiro Grande";2;2;2;2;1;2;4;4;4;6;5;5;5;5
"241390 Taipu";5;3;8;8;2;2;2;4;3;2;2;3;3;4
"241400 Tangará";5;5;4;5;5;4;7;5;4;3;4;1;4;4
"241410 Tenente Ananias";2;5;2;2;2;2;2;2;2;2;2;2;3;4
"241415 Tenente Laurentino Cruz";2;2;-;-;-;-;1;-;1;-;-;-;-;-
"241105 Tibau";1;1;1;6;4;1;8;6;5;11;10;8;3;8
"241420 Tibau do Sul";4;3;2;1;5;5;4;8;4;4;2;4;6;7
"241430 Timbaúba dos Batistas";1;1;1;1;1;1;1;1;-;-;-;-;1;6
"241440 Touros";6;5;5;5;5;5;5;13;7;12;27;10;15;29
"241445 Triunfo Potiguar";1;2;1;2;2;2;2;1;2;1;3;1;3;4
"241450 Umarizal";5;5;4;3;2;4;1;-;-;-;-;-;-;3
"241460 Upanema";2;4;1;2;2;2;2;7;3;1;4;6;7;5
"241470 Várzea";-;-;-;-;1;2;2;2;2;-;1;1;-;3
"241475 Venha-Ver";2;2;6;5;3;3;4;-;1;-;1;-;-;-
"241480 Vera Cruz";5;5;2;2;3;2;2;2;1;1;1;3;2;8
"241490 Viçosa";1;3;3;5;2;2;2;3;3;1;1;1;1;1
"241500 Vila Flor";2;1;2;3;2;4;2;2;1;1;1;3;2;2
"250010 Água Branca";1;8;5;6;6;5;6;5;4;6;7;6;4;9
"250020 Aguiar";3;5;4;6;4;8;8;8;11;11;11;8;8;10
"250030 Alagoa Grande";10;6;12;11;14;21;12;11;13;10;14;12;12;13
"250040 Alagoa Nova";5;7;7;8;7;7;8;7;9;12;11;5;11;7
"250050 Alagoinha";-;-;-;-;-;-;1;2;2;2;2;2;2;3
"250053 Alcantil";-;-;-;-;-;-;-;-;-;-;1;1;1;2
"250057 Algodão de Jandaíra";-;-;-;-;-;-;-;-;1;1;-;-;1;-
"250060 Alhandra";3;3;5;5;6;11;17;17;15;11;15;27;22;22
"250073 Amparo";-;-;-;-;-;-;-;1;1;1;1;-;-;2
"250077 Aparecida";-;-;-;2;1;1;1;1;2;2;1;-;-;3
"250080 Araçagi";4;1;1;3;3;2;10;9;6;4;1;1;1;2
"250090 Arara";2;2;2;2;3;4;6;6;5;5;10;6;4;6
"250100 Araruna";5;7;12;16;14;13;8;6;7;7;11;11;15;10
"250110 Areia";4;4;6;8;8;8;11;12;9;6;6;8;5;8
"250115 Areia de Baraúnas";-;-;-;-;-;1;1;1;1;1;1;1;1;-
"250120 Areial";2;1;1;1;-;-;-;-;-;-;1;1;-;-
"250130 Aroeiras";-;-;-;1;1;8;16;19;14;13;10;15;14;10
"250135 Assunção";-;-;-;-;1;-;-;-;-;-;-;-;-;-
"250140 Baía da Traição";-;-;1;1;1;1;1;2;3;3;3;3;4;5
"250150 Bananeiras";5;12;11;14;10;5;5;12;7;7;11;9;7;13
"250153 Baraúna";-;-;-;-;-;1;1;-;-;-;-;-;-;1
"250160 Barra de Santa Rosa";3;3;3;3;6;7;6;4;3;3;1;1;-;1
"250157 Barra de Santana";1;8;7;8;7;8;2;-;-;-;1;1;-;1
"250170 Barra de São Miguel";-;-;-;-;1;-;-;1;1;-;-;-;-;-
"250180 Bayeux";15;13;13;12;16;13;8;7;6;40;28;27;26;32
"250190 Belém";1;2;11;14;15;10;11;11;13;8;8;8;7;11
"250200 Belém do Brejo do Cruz";4;4;5;5;2;3;8;9;6;6;7;4;5;5
"250205 Bernardino Batista";1;1;2;2;2;2;2;2;2;3;3;1;1;1
"250210 Boa Ventura";-;-;2;2;2;2;1;-;1;-;-;-;-;1
"250215 Boa Vista";3;3;3;4;3;5;4;4;4;3;3;2;2;4
"250220 Bom Jesus";-;-;-;1;1;1;1;1;-;-;-;-;-;-
"250230 Bom Sucesso";1;4;6;7;4;4;4;4;3;2;3;2;2;4
"250240 Bonito de Santa Fé";1;1;3;4;4;4;1;-;2;2;5;4;7;10
"250250 Boqueirão";5;6;9;8;6;7;12;17;15;17;11;8;11;10
"250270 Borborema";1;1;-;-;-;-;-;-;-;-;-;-;-;1
"250280 Brejo do Cruz";2;5;5;5;4;5;4;5;4;4;6;6;7;8
"250290 Brejo dos Santos";3;3;3;4;2;3;2;1;1;1;1;1;1;1
"250300 Caaporã";6;7;8;8;7;11;15;19;14;12;16;17;15;25
"250310 Cabaceiras";2;2;2;3;3;4;5;5;2;2;2;2;2;5
"250320 Cabedelo";42;30;41;46;37;30;26;33;27;40;31;36;40;32
"250330 Cachoeira dos Índios";1;4;4;4;3;2;2;2;1;1;2;2;3;5
"250340 Cacimba de Areia";-;-;-;-;-;-;-;1;1;-;1;2;1;2
"250350 Cacimba de Dentro";4;5;4;4;5;4;4;4;3;4;7;3;4;5
"250355 Cacimbas";-;-;1;1;3;2;2;1;1;1;1;1;3;1
"250360 Caiçara";1;-;5;5;-;-;1;1;1;1;1;-;1;2
"250370 Cajazeiras";15;27;24;40;33;34;61;68;65;70;63;64;50;58
"250375 Cajazeirinhas";1;1;-;1;1;1;-;-;-;-;1;1;1;3
"250380 Caldas Brandão";-;1;2;2;-;-;-;-;-;-;-;-;-;4
"250390 Camalaú";1;1;1;2;1;-;-;-;-;-;-;-;-;-
"250400 Campina Grande";364;329;317;334;298;326;385;470;453;448;446;418;406;459
"250403 Capim";-;-;1;1;1;1;1;1;1;1;2;1;-;1
"250407 Caraúbas";1;1;1;1;1;1;2;-;-;-;-;-;-;-
"250410 Carrapateira";-;-;1;1;-;-;-;-;-;-;-;-;-;1
"250415 Casserengue";-;-;-;1;1;2;2;2;1;1;-;-;-;1
"250420 Catingueira";-;-;-;-;-;-;-;-;-;-;-;-;-;5
"250430 Catolé do Rocha";13;16;16;18;23;25;25;20;18;29;32;27;23;25
"250435 Caturité";1;1;1;2;2;1;2;1;1;-;-;-;-;-
"250440 Conceição";7;4;6;9;5;11;16;14;12;10;7;8;10;8
"250450 Condado";-;-;-;-;1;-;-;-;-;-;-;-;-;2
"250460 Conde";12;12;7;3;2;1;6;3;2;1;2;2;3;8
"250470 Congo";1;1;2;3;-;-;-;-;-;-;-;-;1;2
"250480 Coremas";5;6;9;9;9;10;16;14;11;10;8;13;14;18
"250485 Coxixola";-;-;-;-;2;-;-;1;1;1;1;1;1;1
"250490 Cruz do Espírito Santo";-;-;-;1;1;2;1;-;-;-;-;-;-;7
"250500 Cubati";4;3;4;5;7;1;2;2;2;2;1;2;2;3
"250510 Cuité";9;9;11;12;12;15;9;11;7;5;15;12;11;15
"250523 Cuité de Mamanguape";2;2;3;3;2;2;1;1;1;1;2;2;2;1
"250520 Cuitegi";1;1;1;2;2;1;1;1;-;-;-;-;-;1
"250527 Curral de Cima";-;-;1;-;2;2;1;-;-;-;1;1;-;3
"250530 Curral Velho";-;-;-;-;-;1;1;1;-;-;-;-;-;1
"250535 Damião";-;-;-;-;2;2;2;2;-;-;1;1;1;-
"250540 Desterro";5;5;4;3;3;5;5;4;3;1;4;3;1;1
"250560 Diamante";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"250570 Dona Inês";4;5;5;9;5;5;5;5;6;4;5;5;7;7
"250580 Duas Estradas";1;1;1;2;1;1;1;1;-;-;-;-;-;1
"250590 Emas";-;-;-;-;-;-;-;-;-;-;-;-;-;1
"250600 Esperança";14;21;21;28;24;25;24;22;25;17;22;16;22;28
"250610 Fagundes";2;2;2;3;3;3;6;4;4;-;-;1;2;4
"250620 Frei Martinho";1;3;2;3;2;2;1;1;1;1;1;1;1;1
"250625 Gado Bravo";-;-;-;1;2;2;1;1;2;1;-;-;-;2
"250630 Guarabira";63;53;52;54;42;55;58;60;63;56;53;52;62;73
"250640 Gurinhém";2;5;6;6;3;9;4;7;6;6;7;4;2;2
"250650 Gurjão";3;4;4;4;3;2;3;1;1;2;-;-;-;1
"250660 Ibiara";-;-;1;1;1;7;3;4;2;2;1;2;2;2
"250260 Igaracy";2;3;4;4;1;4;4;5;5;3;2;3;-;1
"250670 Imaculada";-;-;3;2;1;1;5;5;3;3;2;1;4;4
"250680 Ingá";8;8;11;10;3;4;6;5;5;5;5;7;11;11
"250690 Itabaiana";7;7;10;13;12;15;11;18;16;17;17;21;21;25
"250700 Itaporanga";8;8;16;15;21;18;18;16;15;15;19;15;17;17
"250710 Itapororoca";-;-;1;5;5;2;7;6;6;6;4;3;3;4
"250720 Itatuba";1;1;3;4;3;2;2;2;1;1;-;1;1;-
"250730 Jacaraú";1;1;1;2;2;3;3;3;3;2;2;-;-;5
"250740 Jericó";1;1;5;6;5;4;5;3;2;1;2;3;2;2
"250750 João Pessoa";550;557;620;622;567;602;628;645;668;698;641;661;666;796
"251365 Joca Claudino";1;1;2;2;1;-;-;-;-;-;-;-;-;-
"250760 Juarez Távora";-;-;2;2;-;-;-;-;-;-;-;-;-;-
"250770 Juazeirinho";7;6;5;5;6;2;9;6;7;4;7;5;5;4
"250780 Junco do Seridó";-;-;-;-;-;-;1;1;1;3;4;-;-;2
"250790 Juripiranga";-;-;4;7;5;7;5;9;7;6;6;5;6;6
"250800 Juru";4;5;4;4;3;3;7;6;4;4;7;4;4;5
"250810 Lagoa";-;-;-;1;-;1;1;1;-;-;-;-;-;-
"250820 Lagoa de Dentro";1;4;12;15;12;8;8;8;4;5;6;6;7;7
"250830 Lagoa Seca";10;9;16;12;6;9;16;11;10;10;13;11;14;20
"250840 Lastro";2;2;2;1;4;3;4;4;3;1;2;1;1;3
"250850 Livramento";-;-;-;1;4;-;5;2;1;1;-;-;-;-
"250855 Logradouro";-;-;-;-;-;-;-;-;-;1;1;1;2;4
"250860 Lucena";-;-;-;-;-;-;-;-;-;2;6;8;2;4
"250870 Mãe d'Água";2;2;2;3;1;1;-;-;-;-;-;-;-;1
"250880 Malta";-;-;-;1;-;-;1;-;-;-;-;-;-;1
"250890 Mamanguape";14;18;20;20;24;19;24;19;33;32;25;24;24;36
"250900 Manaíra";-;1;-;2;3;4;3;4;4;2;3;3;4;5
"250905 Marcação";-;1;1;1;1;1;1;1;2;2;1;1;1;4
"250910 Mari";5;5;4;6;5;7;9;8;8;7;6;9;6;10
"250915 Marizópolis";-;-;1;1;1;2;1;-;-;-;-;-;-;-
"250920 Massaranduba";1;3;7;11;11;8;7;6;4;4;9;7;8;11
"250930 Mataraca";-;-;-;2;2;4;5;4;3;1;4;1;2;2
"250933 Matinhas";-;-;-;1;1;-;-;-;-;-;-;-;-;-
"250937 Mato Grosso";-;-;-;1;1;2;2;-;1;1;-;-;-;2
"250939 Maturéia";-;-;-;1;1;1;-;-;-;-;-;-;-;1
"250940 Mogeiro";3;3;4;3;3;2;3;9;2;2;2;2;2;6
"250950 Montadas";-;-;-;1;1;-;-;-;-;-;-;-;-;-
"250960 Monte Horebe";-;1;-;-;-;-;-;-;-;-;-;-;-;-
"250970 Monteiro";9;18;23;25;34;54;41;35;35;36;40;42;47;37
"250980 Mulungu";3;3;3;4;3;2;1;1;1;1;1;1;1;3
"250990 Natuba";1;2;5;7;5;4;3;3;3;4;6;4;4;5
"251000 Nazarezinho";-;-;-;1;2;1;2;2;2;1;1;1;-;3
"251010 Nova Floresta";2;2;2;2;2;2;2;1;3;1;1;1;1;1
"251020 Nova Olinda";5;2;4;4;4;3;3;3;3;2;4;4;2;1
"251030 Nova Palmeira";1;1;-;1;-;1;1;3;2;-;3;1;3;1
"251040 Olho d'Água";1;2;1;2;1;1;1;1;1;1;1;2;2;2
"251050 Olivedos";1;1;-;1;-;-;-;-;-;-;-;-;-;1
"251060 Ouro Velho";2;2;3;4;2;2;2;2;-;1;2;3;2;4
"251065 Parari";1;1;1;2;1;-;-;-;-;-;-;-;-;-
"251070 Passagem";-;-;-;1;-;-;1;-;-;-;-;-;-;3
"251080 Patos";52;109;92;102;65;67;71;63;56;57;76;68;72;111
"251090 Paulista";-;-;-;4;4;4;8;8;10;6;5;4;5;8
"251100 Pedra Branca";1;1;1;1;2;2;3;2;2;-;-;-;1;-
"251110 Pedra Lavrada";5;4;4;5;3;3;3;2;2;1;3;3;2;3
"251120 Pedras de Fogo";19;22;24;22;17;15;16;15;13;12;15;16;10;13
"251272 Pedro Régis";1;1;2;2;2;2;1;1;1;1;1;1;1;4
"251130 Piancó";9;17;24;26;28;31;40;39;26;33;43;60;42;41
"251140 Picuí";13;11;16;12;17;16;14;11;14;15;13;13;20;23
"251150 Pilar";3;10;8;9;7;7;4;4;1;1;3;7;7;8
"251160 Pilões";1;1;1;1;1;1;2;1;-;-;-;-;-;2
"251170 Pilõezinhos";1;1;-;1;1;1;1;2;2;1;1;1;1;3
"251180 Pirpirituba";-;-;-;1;1;1;1;1;1;1;1;1;2;3
"251190 Pitimbu";-;-;1;1;1;1;4;7;7;7;5;6;5;5
"251200 Pocinhos";8;11;11;11;9;5;7;5;10;9;8;5;7;12
"251203 Poço Dantas";-;-;-;-;-;1;1;-;-;-;-;-;-;4
"251207 Poço de José de Moura";1;1;2;1;1;1;-;1;-;-;-;-;-;1
"251210 Pombal";14;27;25;25;26;40;37;46;30;25;24;28;28;28
"251220 Prata";-;-;1;1;1;1;1;1;-;-;-;1;1;3
"251230 Princesa Isabel";14;15;21;20;23;30;26;24;25;36;33;34;33;32
"251240 Puxinanã";2;2;3;3;3;1;2;2;1;1;1;1;1;2
