CNES - Recursos Humanos - Ocupações - segundo CBO 2002 - Brasil
Total por Município e Ano/mês compet.
Profissionais selecionados: .. Clínico Geral
Período:Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Nov/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Nov";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez"
"120045 Senador Guiomard";3;7;7;10;10;6;8;9;7;7;9;9;9;8
"120060 Tarauacá";9;19;15;9;10;10;10;10;15;15;13;19;19;22
"120070 Xapuri";4;4;7;8;7;6;6;6;3;3;3;4;6;5
"130002 Alvarães";1;1;1;2;2;3;3;4;2;2;3;3;3;4
"130006 Amaturá";1;1;1;-;2;3;2;6;5;5;3;4;7;10
"130008 Anamã";2;2;2;1;1;1;2;3;4;3;1;3;3;4
"130010 Anori";1;1;2;1;1;1;1;1;1;1;9;9;7;10
"130014 Apuí";3;4;5;2;5;4;4;6;5;5;5;5;8;10
"130020 Atalaia do Norte";-;1;1;1;1;3;2;2;5;9;4;6;3;5
"130030 Autazes";4;1;-;2;1;1;3;3;3;6;3;3;8;18
"130040 Barcelos";1;2;4;2;2;2;4;3;2;2;2;1;8;10
"130050 Barreirinha";7;3;3;4;3;5;8;4;2;8;8;2;6;10
"130060 Benjamin Constant";2;11;4;2;6;5;7;9;7;13;10;9;10;11
"130063 Beruri";1;1;1;3;4;3;1;3;3;4;4;5;4;6
"130068 Boa Vista do Ramos";1;1;4;4;3;3;2;2;2;3;4;1;2;1
"130070 Boca do Acre";4;4;4;4;5;5;4;5;6;6;7;9;13;14
"130080 Borba";4;4;3;3;2;3;4;3;2;4;5;5;2;5
"130083 Caapiranga";1;1;1;1;1;1;1;2;1;1;1;1;1;3
"130090 Canutama";-;1;1;1;1;1;3;3;3;3;4;2;3;5
"130100 Carauari";4;2;2;2;1;1;3;3;3;3;3;2;2;4
"130110 Careiro";4;3;2;2;2;2;4;4;4;5;4;4;6;5
"130115 Careiro da Várzea";-;-;1;1;1;1;1;1;1;1;1;1;2;4
"130120 Coari";15;12;17;13;8;11;21;16;16;16;9;11;14;19
"130130 Codajás";1;1;1;1;1;3;3;3;3;3;3;5;6;6
"130140 Eirunepé";1;1;2;4;1;2;1;5;5;3;6;2;5;11
"130150 Envira";4;2;2;2;2;4;4;5;4;6;6;4;5;5
"130160 Fonte Boa";-;-;-;-;-;-;-;-;3;3;4;1;1;1
"130165 Guajará";3;4;4;4;4;4;4;4;4;4;3;5;7;5
"130170 Humaitá";3;6;6;5;8;9;8;12;9;15;14;22;31;28
"130180 Ipixuna";1;1;2;2;2;2;2;2;2;2;2;2;2;2
"130185 Iranduba";1;9;10;8;8;8;7;9;7;5;7;10;8;9
"130190 Itacoatiara";18;21;22;26;16;17;14;21;29;27;25;47;38;53
"130195 Itamarati";1;1;1;2;2;1;1;1;1;-;-;-;-;-
"130200 Itapiranga";1;4;1;1;1;1;2;1;1;1;1;4;2;6
"130210 Japurá";1;1;1;1;2;2;1;1;1;2;1;2;2;1
"130220 Juruá";2;2;2;1;1;1;1;2;3;3;2;1;1;1
"130230 Jutaí";1;2;2;-;1;1;1;1;1;1;1;2;2;3
"130240 Lábrea";4;3;4;4;3;8;7;5;9;7;13;9;20;23
"130250 Manacapuru";12;12;11;11;20;19;19;26;28;16;5;10;15;14
"130255 Manaquiri";1;3;5;5;5;6;5;6;7;7;7;5;6;7
"130260 Manaus";770;969;1081;983;747;876;930;997;1287;1301;1529;1906;2430;2581
"130270 Manicoré";1;2;3;3;4;3;3;2;4;3;3;2;6;5
"130280 Maraã";1;1;1;1;1;1;1;2;2;2;4;3;3;3
"130290 Maués";9;10;10;13;15;14;7;6;7;7;5;8;5;6
"130300 Nhamundá";1;3;2;2;2;2;2;2;2;3;2;2;2;4
"130310 Nova Olinda do Norte";5;3;3;3;1;1;5;5;5;5;5;5;5;21
"130320 Novo Airão";1;1;1;1;1;1;1;1;1;1;4;4;8;10
"130330 Novo Aripuanã";3;2;3;1;1;2;2;2;2;2;1;-;1;3
"130340 Parintins";18;18;20;18;11;23;23;23;21;30;32;30;33;40
"130350 Pauini";2;1;2;3;3;2;3;3;3;2;2;6;3;1
"130353 Presidente Figueiredo";12;16;13;15;13;31;34;29;23;19;17;21;25;33
"130356 Rio Preto da Eva";4;10;10;10;13;10;14;20;22;21;21;33;30;29
"130360 Santa Isabel do Rio Negro";5;4;4;4;4;2;2;3;2;-;2;2;2;6
"130370 Santo Antônio do Içá";2;2;2;3;3;5;3;3;2;3;2;2;4;5
"130380 São Gabriel da Cachoeira";20;23;16;17;9;10;9;11;13;7;11;16;26;21
"130390 São Paulo de Olivença";2;2;2;2;2;2;3;2;2;2;2;2;2;2
"130395 São Sebastião do Uatumã";1;2;1;1;1;1;1;1;1;1;4;5;7;7
"130400 Silves";1;1;1;1;1;1;1;2;2;2;1;1;4;7
"130406 Tabatinga";5;3;14;19;15;18;15;67;51;45;51;47;56;55
"130410 Tapauá";4;2;2;2;3;3;4;5;4;3;3;2;4;12
"130420 Tefé";7;11;11;14;28;21;18;22;26;32;23;14;26;23
"130423 Tonantins";1;1;1;1;1;1;1;2;-;3;3;5;3;3
"130426 Uarini";-;1;1;1;1;1;1;1;1;1;1;1;1;1
"130430 Urucará";2;2;1;1;-;3;2;2;2;2;1;1;2;3
"130440 Urucurituba";3;3;4;1;2;2;2;3;3;4;2;3;2;1
"140005 Alto Alegre";4;5;5;6;6;4;5;4;4;6;11;12;20;9
"140002 Amajari";1;2;3;1;3;1;1;2;6;6;4;4;11;7
"140010 Boa Vista";151;256;316;373;311;339;399;474;436;460;513;560;651;954
"140015 Bonfim";7;6;5;5;4;3;3;3;2;3;3;4;7;11
"140017 Cantá";1;1;2;1;-;1;1;1;1;1;1;2;1;1
"140020 Caracaraí";7;4;4;4;6;6;5;6;3;3;14;10;20;10
"140023 Caroebe";1;-;-;1;2;2;2;2;2;1;3;6;8;10
"140028 Iracema";2;2;-;1;2;2;3;6;5;5;3;2;2;2
"140030 Mucajaí";5;6;4;9;7;8;4;6;6;7;7;10;10;10
"140040 Normandia";2;2;3;6;5;3;4;4;3;4;4;4;5;5
"140045 Pacaraima";5;1;6;6;6;6;8;8;6;7;12;9;11;11
"140047 Rorainópolis";6;8;4;6;3;4;5;11;7;10;9;10;13;14
"140050 São João da Baliza";6;2;2;2;2;2;3;2;2;2;3;4;1;3
"140060 São Luiz";5;1;2;1;2;2;2;3;2;2;4;4;2;2
"140070 Uiramutã";3;1;1;2;2;1;1;3;2;2;8;7;5;1
"150010 Abaetetuba";26;54;63;43;47;47;36;33;31;43;58;65;67;86
"150013 Abel Figueiredo";2;5;4;5;3;3;2;3;2;2;2;2;6;1
"150020 Acará";8;7;6;5;4;4;5;7;7;6;9;10;8;7
"150030 Afuá";3;4;6;6;6;7;4;5;4;6;5;6;8;7
"150034 Água Azul do Norte";5;8;9;9;8;8;4;6;6;6;6;10;14;9
"150040 Alenquer";11;10;22;22;16;15;19;14;14;11;16;13;11;14
"150050 Almeirim";15;15;16;15;16;16;14;18;18;14;12;11;11;13
"150060 Altamira";29;42;35;47;41;45;53;70;57;67;69;61;67;93
"150070 Anajás";1;3;1;2;2;2;2;2;2;2;1;1;1;1
"150080 Ananindeua";120;118;160;176;167;190;200;218;186;171;202;214;280;341
"150085 Anapu";-;1;3;3;4;3;3;2;5;5;8;7;5;7
"150090 Augusto Corrêa";3;5;6;8;5;5;6;4;5;8;7;9;6;8
"150095 Aurora do Pará";5;5;6;6;8;4;4;5;6;5;5;6;6;10
"150100 Aveiro";1;1;1;2;2;2;1;1;4;2;2;2;2;2
"150110 Bagre";1;1;1;-;2;2;2;3;3;3;3;1;2;2
"150120 Baião";4;4;9;6;4;7;7;7;8;3;5;4;4;4
"150125 Bannach";1;1;1;1;1;2;2;4;5;4;5;3;3;4
"150130 Barcarena";39;66;108;72;90;75;55;59;52;59;45;45;51;53
"150140 Belém";1054;1109;1115;1144;1103;1164;1272;1405;1412;1659;1909;1871;1846;2112
"150145 Belterra";1;1;4;4;4;3;4;3;4;3;7;6;5;4
"150150 Benevides";16;22;14;16;13;12;12;11;12;10;18;7;7;45
"150157 Bom Jesus do Tocantins";2;1;2;3;4;5;3;3;3;3;5;4;7;5
"150160 Bonito";1;1;1;1;1;-;2;2;2;2;2;1;2;2
"150170 Bragança";73;83;76;84;74;76;67;91;87;82;65;52;50;90
"150172 Brasil Novo";5;5;4;3;5;4;7;5;8;5;7;5;4;3
"150175 Brejo Grande do Araguaia";2;4;3;3;2;2;2;2;1;1;1;1;1;1
"150178 Breu Branco";3;6;11;13;10;10;17;19;19;17;12;11;16;19
"150180 Breves";10;10;14;9;21;26;31;38;38;26;25;27;30;38
"150190 Bujaru";1;2;2;2;4;5;5;3;4;4;5;3;3;3
"150200 Cachoeira do Arari";1;1;1;1;1;1;1;2;2;1;4;4;3;3
"150195 Cachoeira do Piriá";1;1;1;1;2;3;2;3;3;4;2;2;1;2
"150210 Cametá";19;17;16;18;21;18;21;20;25;25;21;17;20;47
"150215 Canaã dos Carajás";3;19;33;34;24;38;40;43;45;47;45;50;53;76
"150220 Capanema";34;36;53;55;51;55;52;54;53;45;63;65;60;62
"150230 Capitão Poço";4;5;5;8;10;10;18;16;15;13;8;9;8;11
"150240 Castanhal";80;92;92;92;88;93;85;84;105;99;114;113;144;146
"150250 Chaves";1;1;1;1;1;2;1;2;3;3;3;4;4;5
"150260 Colares";1;4;4;3;2;2;4;2;2;2;4;3;4;4
"150270 Conceição do Araguaia";28;26;28;32;31;29;32;45;42;40;41;39;35;45
"150275 Concórdia do Pará";1;1;4;4;3;3;6;6;6;2;5;5;4;3
"150276 Cumaru do Norte";2;2;3;6;6;5;4;4;4;4;3;3;2;4
"150277 Curionópolis";3;6;7;7;5;6;6;10;10;8;9;9;8;7
"150280 Curralinho";2;5;1;2;4;3;2;3;5;6;6;4;3;5
"150285 Curuá";1;1;1;1;1;-;2;1;1;1;1;1;1;1
"150290 Curuçá";2;2;3;5;4;3;5;7;7;8;5;8;6;4
"150293 Dom Eliseu";8;8;5;10;11;14;11;11;11;11;8;9;7;11
"150295 Eldorado do Carajás";10;8;-;8;5;6;7;7;7;8;5;5;4;6
"150300 Faro";1;1;2;1;3;3;1;1;1;1;1;1;1;2
"150304 Floresta do Araguaia";3;1;2;3;3;3;10;6;6;4;4;4;4;6
"150307 Garrafão do Norte";1;1;2;3;1;1;4;3;3;2;2;3;2;5
"150309 Goianésia do Pará";1;1;6;4;4;4;5;5;6;9;5;5;6;4
"150310 Gurupá";3;2;2;1;3;4;3;3;5;5;4;5;4;3
"150320 Igarapé-Açu";18;13;12;14;11;10;9;10;9;7;8;9;11;20
"150330 Igarapé-Miri";22;17;15;27;29;20;25;14;23;13;28;16;16;18
"150340 Inhangapi";1;1;3;3;4;4;2;2;3;3;4;3;3;4
"150345 Ipixuna do Pará";2;2;5;3;8;8;8;7;6;7;10;11;16;21
"150350 Irituia";4;1;4;7;8;4;3;5;7;4;4;3;3;4
"150360 Itaituba";13;17;20;16;15;12;23;19;22;20;22;23;25;57
"150370 Itupiranga";5;6;11;13;6;9;14;17;16;10;13;9;9;11
"150375 Jacareacanga";1;3;2;2;2;2;3;9;12;13;11;13;4;5
"150380 Jacundá";9;10;11;9;11;14;12;14;11;12;16;19;17;24
"150390 Juruti";4;8;10;14;14;15;14;9;10;12;11;16;19;16
"150400 Limoeiro do Ajuru";2;2;1;1;2;3;5;3;2;2;5;3;5;5
"150405 Mãe do Rio";7;6;6;6;10;10;9;7;6;5;9;12;9;6
"150410 Magalhães Barata";1;1;2;1;2;1;2;3;-;2;2;1;2;4
"150420 Marabá";83;104;102;93;116;122;115;125;126;143;133;144;150;185
"150430 Maracanã";2;3;2;2;5;4;9;5;6;5;5;6;5;5
"150440 Marapanim";6;5;5;5;4;4;3;3;5;8;5;7;5;5
"150442 Marituba";44;56;52;46;40;42;40;46;46;46;92;91;95;101
"150445 Medicilândia";4;4;4;3;5;4;5;5;5;8;5;6;5;5
"150450 Melgaço";1;3;3;8;3;3;4;4;3;4;3;6;6;7
"150460 Mocajuba";3;1;2;3;4;5;4;7;8;3;4;2;6;7
"150470 Moju";15;16;25;13;8;8;10;10;11;7;11;11;7;7
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;2;1;1;2;2;1;2
"150480 Monte Alegre";10;11;12;17;18;14;19;13;18;15;14;12;15;14
"150490 Muaná";3;4;6;6;5;5;5;4;5;6;3;2;1;2
"150495 Nova Esperança do Piriá";1;3;3;2;1;1;1;3;2;3;4;2;3;3
"150497 Nova Ipixuna";2;2;-;2;2;2;2;2;1;-;4;6;9;14
"150500 Nova Timboteua";2;2;2;3;2;2;1;1;2;2;-;1;1;1
"150503 Novo Progresso";4;1;4;5;5;5;9;9;9;10;7;9;9;8
"150506 Novo Repartimento";11;9;7;8;9;12;13;11;12;8;14;15;27;33
"150510 Óbidos";10;7;5;11;13;16;15;18;18;11;13;9;13;19
"150520 Oeiras do Pará";2;2;2;1;4;4;3;3;5;6;3;3;6;7
"150530 Oriximiná";10;18;21;21;20;21;26;31;29;29;43;40;37;43
"150540 Ourém";2;1;4;7;6;4;5;7;6;6;6;4;3;3
"150543 Ourilândia do Norte";6;5;8;7;10;12;13;13;13;23;19;22;19;21
"150548 Pacajá";3;5;2;3;5;4;5;6;7;7;9;8;7;9
"150549 Palestina do Pará";1;2;2;7;4;4;4;2;2;1;6;2;2;5
"150550 Paragominas";17;23;31;50;38;42;43;46;47;48;51;43;46;44
"150553 Parauapebas";111;117;112;104;97;119;150;158;157;173;179;188;190;224
"150555 Pau D'Arco";4;2;4;3;4;4;5;4;4;4;3;4;5;5
"150560 Peixe-Boi";2;2;2;2;2;2;2;2;3;4;3;2;1;1
"150563 Piçarra";2;2;2;5;3;5;4;2;4;4;6;2;3;3
"150565 Placas";2;2;1;1;3;4;4;3;4;4;2;3;4;4
"150570 Ponta de Pedras";2;1;3;3;3;5;6;6;7;6;4;2;3;5
"150580 Portel";4;8;11;8;9;14;14;11;11;7;17;5;5;6
"150590 Porto de Moz";2;2;1;3;4;4;4;5;7;3;4;4;4;6
"150600 Prainha";1;1;2;3;3;2;6;6;3;3;3;3;5;6
"150610 Primavera";2;1;1;1;2;2;2;2;1;-;1;1;-;1
"150611 Quatipuru";1;1;1;1;2;2;2;4;2;1;2;2;2;2
"150613 Redenção";38;36;29;27;29;27;34;29;32;30;37;36;37;50
"150616 Rio Maria";5;8;10;11;9;8;9;8;7;7;6;5;8;7
"150618 Rondon do Pará";10;11;7;12;14;14;12;12;14;15;15;15;12;14
"150619 Rurópolis";4;5;5;5;9;10;10;5;7;4;6;5;5;9
"150620 Salinópolis";10;20;40;40;35;32;28;35;30;29;19;19;19;21
"150630 Salvaterra";1;2;1;3;4;4;2;3;4;4;3;4;3;4
"150635 Santa Bárbara do Pará";2;2;3;3;4;4;4;4;3;5;4;3;3;4
"150640 Santa Cruz do Arari";-;-;1;2;3;3;2;2;2;3;3;2;2;2
"150650 Santa Izabel do Pará";16;18;18;17;14;17;16;15;17;14;25;25;27;31
"150655 Santa Luzia do Pará";1;1;1;2;-;1;2;2;1;1;2;4;1;1
"150658 Santa Maria das Barreiras";3;5;3;4;3;5;4;5;5;5;5;5;6;7
"150660 Santa Maria do Pará";7;5;8;8;9;17;12;12;9;10;13;11;10;15
"150670 Santana do Araguaia";16;17;13;10;7;11;13;12;9;8;12;8;12;8
"150680 Santarém";87;103;99;113;95;87;100;100;122;124;126;170;192;189
"150690 Santarém Novo";1;1;1;1;2;3;3;1;2;1;-;1;1;3
"150700 Santo Antônio do Tauá";7;7;7;8;7;9;6;6;3;5;6;6;5;7
"150710 São Caetano de Odivelas";1;1;-;3;4;4;3;5;3;3;2;1;1;2
"150715 São Domingos do Araguaia";2;3;9;8;9;6;8;6;4;5;4;5;3;6
"150720 São Domingos do Capim";3;3;3;3;8;8;5;4;3;6;9;11;9;11
"150730 São Félix do Xingu";7;9;14;16;14;17;16;20;19;24;20;17;21;22
